Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-2021,2021
Canada,5.00,5.32,5.57,5.92,6.28,6.73,6.94,7.47,8.11,8.36,8.24,8.63,9.13,9.30,9.58,9.76,9.70,9.41,9.36,9.96,10.29,10.39,10.72,11.15,11.26,10.83,10.87,11.17,11.45,11.88,12.17,12.51,12.57,12.39,12.78,13.13,12.86,13.30,13.36,13.57,13.66,13.58,14.10,13.93,13.38,13.52,14.03,14.07,14.42,14.45,14.55,14.35,14.58,14.70,14.63,13.82,13.94,1.1%,-0.1%,2.3%
Mexico,1.06,1.12,1.14,1.24,1.36,1.45,1.53,1.69,1.82,2.01,2.14,2.28,2.41,2.71,3.00,3.26,3.61,3.76,3.72,3.89,4.08,3.96,4.09,4.12,4.36,4.58,4.76,4.84,4.87,5.14,5.07,5.23,5.32,5.55,5.63,5.89,5.82,6.00,6.04,6.37,6.78,7.00,7.03,7.19,7.12,7.34,7.69,7.73,7.76,7.73,7.72,7.82,7.93,7.90,7.58,6.43,6.79,5.9%,-1.2%,1.1%
US,51.98,54.89,56.80,60.19,63.30,65.54,66.92,70.25,73.22,71.43,69.55,73.36,75.22,76.89,77.70,74.71,72.50,69.55,69.30,72.85,72.66,73.34,75.80,79.25,81.17,81.38,81.27,82.47,84.20,85.75,87.63,90.58,91.26,91.84,93.47,95.56,93.29,94.67,94.97,96.83,96.88,96.11,97.43,95.06,90.38,93.43,92.61,90.17,92.62,93.59,92.69,92.60,92.95,96.34,95.66,88.54,92.97,5.3%,?,15.6%
Total North America,58.04,61.33,63.51,67.36,70.95,73.72,75.39,79.41,83.16,81.81,79.93,84.27,86.76,88.91,90.28,87.73,85.81,82.72,82.38,86.70,87.03,87.69,90.61,94.53,96.79,96.80,96.91,98.48,100.52,102.78,104.87,108.32,109.14,109.78,111.88,114.58,111.96,113.97,114.37,116.77,117.32,116.69,118.56,116.18,110.89,114.28,114.33,111.98,114.80,115.77,114.96,114.77,115.46,118.95,117.87,108.79,113.70,4.8%,-0.1%,19.1%
